#1
#Folgende Spalten d√ºrfen nicht verwandt werden, da sie keine Werte enthalten: []
#TRY05   Niederrheinisch-westf‰lische Bucht und Emsland                     (Klimaregion  5)
# Station: Essen                           WMO-Nummer: 10410
# Lage: 51∞24'N <- B.   6∞58'O <- L.   152 Meter ¸ber NN
# Zeitpunkt der Erstellung: November 2010
#  
# Art des TRY    : mittleres Jahr
# Bezugszeitraum : 1988-2007
# Stadteffekt    : -----
# Hˆhenkorrektur : -----
#  
# Datenbasis : Beobachtungsdaten Zeitraum 1988-2007
#  
# Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)
#  
# Reihenfolge der Parameter:
# RG TRY-Region                                                           {1..15}
# IS Standortinformation                                                  {1,2}
# MM Monat                                                                {1..12}
# DD Tag                                                                  {1..28,30,31}
# HH Stunde (MEZ)                                                         {1..24}
# N  Bedeckungsgrad                                              [Achtel] {0..8;9}
# WR Windrichtung in 10 m Hˆhe ¸ber Grund                        [∞]      {0;10..360;999}
# WG Windgeschwindigkeit in 10 m Hˆhe ¸ber Grund                 [m/s]
# t  Lufttemperatur in 2m Hˆhe ¸ber Grund                        [∞C]
# p  Luftdruck in Stationshˆhe                                   [hPa]
# x  Wasserdampfgehalt, Mischungsverh‰ltnis                      [g/kg]
# RF Relative Feuchte in 2 m Hˆhe ¸ber Grund                     [%]      {1..100} 
# W  Wetterereignis der aktuellen Stunde                                  {0..99}  
# B  Direkte Sonnenbestrahlungsst‰rke (horiz. Ebene)             [W/m≤]   abw‰rts gerichtet: positiv 
# D  Difuse Sonnenbetrahlungsst‰rke (horiz. Ebene)               [W/m≤]   abw‰rts gerichtet: positiv
# IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
# A  Bestrahlungsst‰rke d. atm. W‰rmestrahlung (horiz. Ebene)    [W/m≤]   abw‰rts gerichtet: positiv
# E  Bestrahlungsst‰rke d. terr. W‰rmestrahlung                  [W/m≤]   aufw‰rts gerichtet: negativ
# IL Qualit‰tsbit f¸r die langwelligen Strahlungsgrˆﬂen                   {1;2;3;4;5;6;7;8;9}
# 
#  
# RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
# 
double wetter(8761,20)
0	5	1	12	31	24	7	180	2.7	3.6	988.0	3.5	62.0	-1	0	0	9	298	-339	9
3600	5	1	1	1	1	8	70	2.5	2.1	985.7	3.8	96.0	24	0	0	9	282	-314	9
7200	5	1	1	1	2	8	60	2.4	1.0	983.8	3.8	96.0	24	0	0	9	302	-316	9
10800	5	1	1	1	3	9	40	2.6	0.1	982.5	3.7	96.0	47	0	0	9	300	-315	9
14400	5	1	1	1	4	9	60	2.7	0.0	982.6	3.7	96.0	43	0	0	9	300	-314	9
18000	5	1	1	1	5	8	70	2.8	0.0	982.8	3.7	97.0	45	0	0	9	300	-314	9
21600	5	1	1	1	6	7	60	2.0	0.2	983.0	3.8	97.0	42	0	0	9	255	-312	9
25200	5	1	1	1	7	8	80	3.0	0.1	983.1	3.8	97.0	28	0	0	9	282	-314	9
28800	5	1	1	1	8	8	70	3.0	0.1	983.2	3.8	97.0	10	0	0	9	282	-314	9
32400	5	1	1	1	9	8	60	3.0	0.0	983.5	3.7	96.0	46	0	1	9	281	-313	9
36000	5	1	1	1	10	8	60	2.0	0.2	983.9	3.8	96.0	44	0	23	9	282	-314	9
39600	5	1	1	1	11	7	70	3.0	0.4	983.8	3.8	96.0	44	11	74	9	283	-315	9
43200	5	1	1	1	12	7	70	2.0	0.9	983.9	4.0	96.0	28	15	94	9	286	-317	9
46800	5	1	1	1	13	7	50	3.0	1.4	983.5	4.1	95.0	10	16	96	9	273	-319	9
50400	5	1	1	1	14	7	40	3.0	1.9	983.6	4.1	93.0	10	12	79	9	275	-321	9
54000	5	1	1	1	15	8	60	3.0	1.4	983.5	4.0	93.0	10	0	27	9	256	-318	9
57600	5	1	1	1	16	7	60	4.0	1.2	983.5	3.9	94.0	10	1	5	9	253	-317	9
61200	5	1	1	1	17	8	80	3.0	1.0	983.6	3.9	94.0	47	0	0	9	255	-316	9
64800	5	1	1	1	18	8	70	2.0	0.8	984.1	3.9	95.0	28	0	0	9	253	-315	9
68400	5	1	1	1	19	8	60	3.0	0.8	984.6	3.9	95.0	20	0	0	9	270	-316	9
72000	5	1	1	1	20	8	50	2.0	0.7	984.9	3.9	95.0	10	0	0	9	285	-317	9
75600	5	1	1	1	21	8	70	4.0	0.5	985.0	3.8	94.0	10	0	0	9	284	-316	9
79200	5	1	1	1	22	7	70	4.0	0.4	985.0	3.7	94.0	10	0	0	9	283	-315	9
